commit_hash	fecha_iso	fecha_timestamp	acceptance_tests_agregados	acceptance_tests_modificados	acceptance_tests_eliminados	unit_tests_agregados	unit_tests_modificados	unit_tests_eliminados	codigo_agregados	codigo_modificados	codigo_eliminados	otro_agregados	otro_modificados	otro_eliminados
2dc0925ef2b3010b7f5f7bdb1f4dafd645c9f545	"2013-02-11 00:53:46 +0200"	1360536826	0	0	0	0	0	0	0	0	0	0	1	0
faa1e5f555fae5bc8661a0b279a071bec083d77b	"2013-02-12 01:34:50 +0200"	1360625690	0	0	0	0	0	0	0	0	0	0	1	0
153dcf81fb5f54bbd17d96a3b53cda8daefd38fc	"2013-02-12 12:39:26 +0200"	1360665566	0	0	0	0	0	0	0	0	0	0	1	0
606ed35af1f8b0339f285fa83fbdd05c7a256880	"2013-02-13 15:17:24 +0200"	1360761444	0	0	0	0	0	0	0	0	0	0	1	0
4f03513d9e8d6f42d4d9307ecf6aa9af95cbc8da	"2013-02-16 20:32:18 +0200"	1361039538	0	0	0	0	0	0	0	0	0	0	2	0
038bc123eceaddd96f4c3252ab8e50db02b3eed4	"2013-02-20 20:50:51 +0200"	1361386251	0	0	0	0	0	0	0	0	0	0	1	0
5313ecccb179684cb797a6aeb89de94e222d03e5	"2013-03-04 19:33:48 +0200"	1362418428	0	0	0	0	0	0	0	0	0	0	1	0
6094bae0c2522e716e3e0697e3c25504307995b3	"2013-04-14 19:33:58 +0300"	1365957238	0	0	0	0	0	0	0	0	0	0	1	0
71bb4a68ea053035bbe466b09020ff57f7d3215a	"2013-04-21 00:21:39 +0300"	1366492899	0	0	0	0	0	0	0	0	0	0	1	0
b0f11c5ebd1dab96d9a0909a40f0c52fb9a0f4e5	"2013-07-03 19:42:44 +0300"	1372869764	0	9	0	0	9	0	0	0	0	0	1	0
4a16f7d591a1b4e642523ed9481ed94074175c33	"2013-07-03 20:02:39 +0300"	1372870959	0	0	0	0	1	0	0	1	0	0	1	0
15113a20605d9ed3c6c3bea274f5430d079a25d9	"2013-07-03 20:36:51 +0300"	1372873011	0	0	0	0	0	0	0	0	0	1	8	0
a69cab725d2f2fda559cbc27f853e35dd9bf7116	"2013-07-03 20:36:52 +0300"	1372873012	0	0	0	0	1	0	0	3	0	0	1	0
bc7744a9114b274a26c9647692d075f853e36b82	"2013-07-03 20:54:59 +0300"	1372874099	0	0	0	0	1	0	0	0	0	0	1	0
a9d8b6bd667e2e2ed1e0e74663c05ee056defd77	"2013-07-03 21:25:49 +0300"	1372875949	0	0	0	0	1	0	0	1	0	0	1	0
3c10d23ef904f0b999b259dd6dba389cda9dc1d3	"2013-07-03 22:38:51 +0300"	1372880331	0	0	0	0	0	0	0	3	0	0	0	0
9b5b9a5db8006dac544f4ed3f6e186b307187734	"2013-07-03 23:12:38 +0300"	1372882358	0	0	0	0	0	0	0	0	0	0	1	0
83cae346847824c5e92ec2719b08ee17b2422b3c	"2013-07-05 21:01:04 +0300"	1373047264	0	0	0	0	1	0	0	1	0	0	1	0
9aca32362a047e10ee19f9c1823a0bd7d9a1c46b	"2013-07-05 21:03:57 +0300"	1373047437	0	0	0	0	1	0	0	0	0	0	1	0
b94f5d228ed7f3fc4495a1f5740a6e67d3ba5e9f	"2013-07-05 21:11:12 +0300"	1373047872	0	0	0	0	1	0	0	1	0	0	1	0
312fd92a06dcd6b2eca876c41eeebb5f07c57c26	"2013-07-05 21:15:19 +0300"	1373048119	0	0	0	0	1	0	0	1	0	0	1	0
1badfa83e86048fc67ed92b6cc24ca9b734ddf1d	"2013-07-05 21:21:29 +0300"	1373048489	0	0	0	0	1	0	0	0	0	0	1	0
cc1cb45b700650db531c5ac24f586282bcdc21e2	"2013-07-05 21:50:05 +0300"	1373050205	0	0	0	0	1	0	0	2	1	0	1	0
2ab60d9e3d8abab2d755939728790858d2b2faf5	"2013-07-05 22:17:45 +0300"	1373051865	0	0	0	0	1	0	0	1	0	0	1	0
3c1695947154f13889604b2c8ec149294281182f	"2013-07-05 22:22:41 +0300"	1373052161	0	0	0	1	2	1	2	1	2	0	2	0
611ac4b245076711d91bcf9ee4a7de260981f328	"2013-07-05 22:31:41 +0300"	1373052701	0	0	0	0	0	0	0	1	0	0	1	0
fe1b1aaf4ccd2b14738a4aa80939fd143c8ad4ce	"2013-07-05 23:00:08 +0300"	1373054408	0	0	0	0	0	0	0	1	0	0	0	0
2711f22b2d4a9b87cd7bdfedc30b59887807ebc6	"2013-07-06 00:29:04 +0300"	1373059744	0	0	0	0	0	0	0	0	0	0	1	0
1118e16188c262e617deb507be4e8d861c4d92d2	"2013-07-08 01:42:20 +0300"	1373236940	0	0	0	0	0	0	0	0	0	0	1	0
f9ba6cbd8820fc24d6c49cda03ec1df0173a1a6f	"2013-07-08 18:25:40 +0300"	1373297140	0	0	0	0	1	0	0	1	0	0	1	0
2757a26e63148c1e59e75a71d4075977467e4729	"2013-07-08 18:34:05 +0300"	1373297645	0	0	0	0	1	0	0	1	0	0	1	0
0473c324f019850215ccbdbbbc3e5785e63692fa	"2013-07-08 19:01:36 +0300"	1373299296	0	0	0	1	1	1	1	1	2	0	1	0
43aa9be36cf7b4b1aa73e7453c52de50de7d3e35	"2013-07-08 20:00:57 +0300"	1373302857	0	0	0	0	1	0	0	0	0	0	1	0
65bf398eb4c8cb517c11e1eb0d6534de1140d312	"2013-07-08 20:18:11 +0300"	1373303891	0	0	0	0	1	0	0	2	0	0	1	0
f3fe8801ee3aa1f9f00fa2cef36fae24463a1a43	"2013-07-08 20:26:59 +0300"	1373304419	0	0	0	1	0	1	1	1	1	0	1	0
ef5854742b54bfbb85a6472be268d0dd24d78c2e	"2013-07-08 20:27:23 +0300"	1373304443	0	3	0	1	8	1	1	13	1	0	0	0
1eddce9866f4bcc3e9b08b9b447ab6d19f4ec1fc	"2013-07-08 20:48:59 +0300"	1373305739	0	0	0	0	1	0	0	1	0	0	1	0
7c64b9a237fde681fe6164f65722bad9c4bd07b7	"2013-07-08 21:51:14 +0300"	1373309474	0	0	0	0	1	0	0	0	0	0	0	0
036fdf128f3282b4b85487022df7279514e6aba9	"2013-07-08 23:13:24 +0300"	1373314404	0	0	0	0	0	0	0	3	0	0	4	0
377a6725671792c75d6c691c095f31193c9cab0c	"2013-07-09 00:14:43 +0300"	1373318083	0	0	0	0	0	0	0	0	0	0	2	0
598f69970aa93c74f0e5fc3abb44b1c3b2835d97	"2013-07-09 14:06:18 +0300"	1373367978	0	0	0	0	0	0	0	0	0	0	1	0
