commit_hash	fecha_iso	fecha_timestamp	acceptance_tests_modificados	unit_tests_modificados	codigo_modificados	otro_modificados
7f14f0c2098c4c911973400c883cf733f7d94d0c	"2013-02-09 21:26:43 +0200"	1360438003	0	0	0	1
18ee02790a2ae0281b10966810e00b3e55a3b4a5	"2013-02-09 22:14:25 +0200"	1360440865	0	0	0	1
9df36ab2b47a36bbedf64345f1d1f226b1f20156	"2013-02-09 22:14:55 +0200"	1360440895	0	0	0	1
6de65a0971acb7282f73caa7082086afdae0e00c	"2013-02-10 10:14:45 +0200"	1360484085	0	0	0	2
ea1da3e053316dc3bf85982895b5fe575cac6284	"2013-02-10 19:12:51 +0200"	1360516371	0	1	1	1
3094f2f3e70e63510fd39b7e772a157f445c9f67	"2013-02-10 19:16:24 +0200"	1360516584	0	1	1	1
7b60719430fc5f7f810da9bf99bbe9f341ac79f3	"2013-02-10 19:19:23 +0200"	1360516763	0	0	1	0
9a65c952df02c1561ed6e6b2b1a2b39999e6b4ae	"2013-02-10 19:50:39 +0200"	1360518639	1	0	1	2
d4d9892820f2b79c11aee49aba0ec950a33fb728	"2013-02-10 20:00:23 +0200"	1360519223	2	1	1	1
f6e818c83c119af46de005686276cef172d2618f	"2013-02-10 20:05:39 +0200"	1360519539	0	0	0	1
